# ELP1 — ELP2000-82B main problem, component=1 (1=longitude(sine),2=latitude(sine),3=distance(cosine, via +pi/2 phase))
# Source: Chapront-Touze M., Chapront J., Astron. Astrophys. 190, 342 (1988) and 124, 50 (1983); IMCCE ftp://ftp.imcce.fr/pub/ephem/moon/elp82b/, coefficients fitted to JPL DE200/LE200. Column layout and phase formula read directly from reference Fortran elp82b_1.
# columns: d,lp,l,f = Delaunay argument multipliers (D, l', l, F); a = amplitude (arcsec for longitude/latitude, km for distance); coef2..coef6 = partial derivatives used only for the DE200/LE200 fit correction (coef7 in the source file is read but never used by elp82b_1, dropped here)
d,lp,l,f,a,coef2,coef3,coef4,coef5,coef6
0,0,0,2,-411.60287,168.48,-18433.81,-121.62,0.4,-0.18
0,0,0,4,0.42034,-0.39,37.65,0.57,0.0,0.0
0,0,0,6,-0.00059,0.0,-0.08,0.0,0.0,0.0
0,0,1,-6,0.00016,0.0,0.02,0.0,0.0,0.0
0,0,1,-4,-0.08019,0.77,-7.22,-1.46,0.0,0.0
0,0,1,-2,39.53393,-395.24,1788.33,720.91,-2.6,0.9
0,0,1,0,22639.55,0.0,0.0,412529.61,0.0,0.0
0,0,1,2,-45.10032,17.41,-2019.78,-830.2,0.09,-0.02
0,0,1,4,0.09092,-0.07,8.14,1.73,0.0,0.0
0,0,1,6,-0.00019,0.0,-0.02,0.0,0.0,0.0
0,0,2,-4,0.00068,0.07,0.06,0.03,0.0,0.0
0,0,2,-2,-1.37259,-7.58,-62.49,-50.12,-0.07,0.0
0,0,2,0,769.02326,-257.51,-47.39,28008.99,-6.83,-0.56
0,0,2,2,-3.99767,2.4,-178.94,-146.18,0.05,0.0
0,0,2,4,0.01297,-0.01,1.16,0.48,0.0,0.0
0,0,2,6,-4e-05,0.0,0.0,0.0,0.0,0.0
0,0,3,-4,9e-05,0.0,0.0,0.0,0.0,0.0
0,0,3,-2,-0.05684,0.38,-2.65,-3.13,0.0,0.0
0,0,3,0,36.12364,-28.42,-5.1,1972.74,-0.93,-0.08
0,0,3,2,-0.32866,0.32,-14.7,-17.99,0.0,0.0
0,0,3,4,0.00153,0.0,0.14,0.08,0.0,0.0
0,0,4,-2,-0.00354,0.04,-0.17,-0.26,0.0,0.0
0,0,4,0,1.93367,-2.65,-0.44,140.75,-0.1,0.0
0,0,4,2,-0.02602,0.04,-1.16,-1.9,0.0,0.0
0,0,4,4,0.00016,0.0,0.01,0.01,0.0,0.0
0,0,5,-2,-0.00023,0.0,-0.01,-0.02,0.0,0.0
0,0,5,0,0.111,-0.23,-0.04,10.1,0.0,0.0
0,0,5,2,-0.00201,0.0,-0.09,-0.18,0.0,0.0
0,0,5,4,2e-05,0.0,0.0,0.0,0.0,0.0
0,0,6,-2,-2e-05,0.0,0.0,0.0,0.0,0.0
0,0,6,0,0.00665,-0.02,0.0,0.73,0.0,0.0
0,0,6,2,-0.00015,0.0,0.0,-0.02,0.0,0.0
0,0,7,0,0.00041,0.0,0.0,0.05,0.0,0.0
0,0,7,2,-1e-05,0.0,0.0,0.0,0.0,0.0
0,0,8,0,3e-05,0.0,0.0,0.0,0.0,0.0
0,1,-7,0,-2e-05,0.0,0.0,0.0,0.0,0.0
0,1,-6,0,-0.00024,0.0,0.0,-0.03,-0.01,0.0
0,1,-5,-2,6e-05,0.0,0.0,0.0,0.0,0.0
0,1,-5,0,-0.00332,-0.07,0.0,-0.3,-0.2,0.0
0,1,-4,-2,0.00064,0.01,0.03,0.05,0.04,0.0
0,1,-4,0,-0.04702,-1.04,0.03,-3.42,-2.82,0.0
0,1,-4,2,7e-05,0.0,0.0,0.0,0.0,0.0
0,1,-3,-4,-3e-05,0.0,0.0,0.0,0.0,0.0
0,1,-3,-2,0.00623,0.14,0.28,0.34,0.37,0.0
0,1,-3,0,-0.6694,-15.55,0.38,-36.53,-40.1,-0.02
0,1,-3,2,0.00106,0.02,0.05,0.06,0.07,0.0
0,1,-2,-4,-0.00017,0.0,-0.02,0.0,-0.01,0.0
0,1,-2,-2,0.05165,1.17,2.29,1.89,3.09,0.0
0,1,-2,0,-9.67938,-235.29,4.9,-352.52,-579.94,-0.15
0,1,-2,2,0.02429,0.74,1.09,0.89,1.46,0.0
0,1,-2,4,-4e-05,0.0,0.0,0.0,0.0,0.0
0,1,-1,-4,-0.00063,-0.01,-0.06,-0.01,-0.04,0.0
0,1,-1,-2,0.30157,6.6,13.34,5.61,18.07,0.0
0,1,-1,0,-147.32654,-3778.62,68.68,-2688.53,-8829.17,-0.76
0,1,-1,2,-0.08049,0.25,-3.63,-1.39,-4.82,-0.01
0,1,-1,4,0.00013,0.0,0.01,0.0,0.0,0.0
0,1,0,-4,-0.00023,0.01,-0.02,0.0,-0.01,0.0
0,1,0,-2,0.07501,-6.72,3.04,0.85,4.46,0.0
0,1,0,0,-666.44186,-5206.84,258.79,-555.98,-39887.79,1.73
0,1,0,2,0.41342,1.5,18.15,1.19,24.72,0.01
0,1,0,4,-0.00083,0.0,-0.07,0.0,-0.05,0.0
0,1,1,-4,0.00011,0.0,0.01,0.0,0.0,0.0
0,1,1,-2,-0.08282,1.73,-3.73,-1.5,-4.95,0.0
0,1,1,0,-109.38419,-2193.78,51.64,-2018.13,-6556.1,0.54
0,1,1,2,0.26338,4.53,11.65,5.03,15.78,0.0
0,1,1,4,-0.00062,0.0,-0.06,-0.01,-0.04,0.0
0,1,2,-4,-3e-05,0.0,0.0,0.0,0.0,0.0
0,1,2,-2,0.02677,1.1,1.2,0.97,1.6,0.0
0,1,2,0,-7.63041,-156.07,4.09,-279.89,-457.41,0.12
0,1,2,2,0.04338,0.81,1.92,1.61,2.6,0.0
0,1,2,4,-0.00015,0.0,-0.01,0.0,0.0,0.0
0,1,3,-2,0.00166,0.06,0.08,0.09,0.1,0.0
0,1,3,0,-0.54594,-11.18,0.34,-29.97,-32.73,0.01
0,1,3,2,0.00526,0.1,0.23,0.29,0.32,0.0
0,1,3,4,-3e-05,0.0,0.0,0.0,0.0,0.0
0,1,4,-2,0.00014,0.0,0.0,0.01,0.0,0.0
0,1,4,0,-0.03947,-0.8,0.03,-2.89,-2.37,0.0
0,1,4,2,0.00055,0.01,0.02,0.04,0.03,0.0
0,1,5,-2,1e-05,0.0,0.0,0.0,0.0,0.0
0,1,5,0,-0.00287,-0.06,0.0,-0.26,-0.17,0.0
0,1,5,2,5e-05,0.0,0.0,0.0,0.0,0.0
0,1,6,0,-0.00021,0.0,0.0,-0.02,-0.01,0.0
0,1,7,0,-2e-05,0.0,0.0,0.0,0.0,0.0
0,2,-5,0,-9e-05,0.0,0.0,0.0,-0.01,0.0
0,2,-4,-2,2e-05,0.0,0.0,0.0,0.0,0.0
0,2,-4,0,-0.00119,-0.04,0.0,-0.09,-0.14,0.0
0,2,-3,-2,0.00014,0.0,0.0,0.0,0.02,0.0
0,2,-3,0,-0.01514,-0.5,0.01,-0.83,-1.81,0.0
0,2,-3,2,3e-05,0.0,0.0,0.0,0.0,0.0
0,2,-2,-2,0.001,0.03,0.04,0.04,0.12,0.0
0,2,-2,0,-0.19311,-6.23,0.13,-7.04,-23.13,0.0
0,2,-2,2,0.0006,0.02,0.03,0.02,0.07,0.0
0,2,-1,-2,0.00473,0.12,0.21,0.09,0.57,0.0
0,2,-1,0,-2.56813,-81.06,1.44,-46.94,-307.62,0.0
0,2,-1,2,0.00013,0.05,0.0,0.0,0.02,0.0
0,2,0,-2,-0.00355,-0.26,-0.16,0.02,-0.42,0.0
0,2,0,0,-7.44804,-12.64,2.98,-9.32,-891.27,0.03
0,2,0,2,0.00519,-0.03,0.23,0.02,0.62,0.0
0,2,0,4,-1e-05,0.0,0.0,0.0,0.0,0.0
0,2,1,-2,-0.0004,0.08,-0.02,0.0,-0.05,0.0
0,2,1,0,-1.16177,-19.75,0.43,-21.52,-139.13,0.0
0,2,1,2,0.0027,0.03,0.12,0.05,0.32,0.0
0,2,2,-2,0.0004,0.02,0.02,0.02,0.05,0.0
0,2,2,0,-0.06513,-0.79,0.02,-2.39,-7.8,0.0
0,2,2,2,0.00035,0.0,0.02,0.01,0.04,0.0
0,2,3,-2,2e-05,0.0,0.0,0.0,0.0,0.0
0,2,3,0,-0.00341,0.0,0.0,-0.19,-0.41,0.0
0,2,3,2,3e-05,0.0,0.0,0.0,0.0,0.0
0,2,4,0,-0.00015,0.0,0.0,-0.01,-0.02,0.0
0,3,-4,0,-3e-05,0.0,0.0,0.0,0.0,0.0
0,3,-3,0,-0.00035,-0.01,0.0,-0.02,-0.06,0.0
0,3,-2,-2,2e-05,0.0,0.0,0.0,0.0,0.0
0,3,-2,0,-0.00416,-0.15,0.0,-0.15,-0.75,0.0
0,3,-2,2,2e-05,0.0,0.0,0.0,0.0,0.0
0,3,-1,-2,8e-05,0.0,0.0,0.0,0.01,0.0
0,3,-1,0,-0.05142,-1.82,0.03,-0.94,-9.24,0.0
0,3,-1,2,3e-05,0.0,0.0,0.0,0.0,0.0
0,3,0,-2,-0.00016,0.0,0.0,0.0,-0.03,0.0
0,3,0,0,-0.10136,1.16,0.04,-0.2,-18.19,0.0
0,3,0,2,7e-05,0.0,0.0,0.0,0.01,0.0
0,3,1,0,-0.01796,-0.3,0.0,-0.33,-3.23,0.0
0,3,1,2,4e-05,0.0,0.0,0.0,0.0,0.0
0,3,2,0,-0.00095,-0.01,0.0,-0.03,-0.17,0.0
0,3,3,0,-5e-05,0.0,0.0,0.0,0.0,0.0
0,4,-2,0,-9e-05,0.0,0.0,0.0,-0.02,0.0
0,4,-1,0,-0.00108,-0.04,0.0,-0.02,-0.26,0.0
0,4,0,0,-0.00128,0.06,0.0,0.0,-0.3,0.0
0,4,1,0,-0.00032,0.0,0.0,0.0,-0.08,0.0
0,4,2,0,-2e-05,0.0,0.0,0.0,0.0,0.0
0,5,-1,0,-2e-05,0.0,0.0,0.0,0.0,0.0
1,-4,0,0,0.00011,0.0,0.0,0.0,0.03,0.04
1,-3,-2,0,2e-05,0.0,0.0,0.0,0.0,0.0
1,-3,-1,0,0.0002,0.0,0.0,0.0,0.04,0.08
1,-3,0,0,0.00254,0.03,0.0,0.0,0.45,0.99
1,-3,1,0,7e-05,0.0,0.0,0.0,0.01,0.03
1,-3,2,0,-1e-05,0.0,0.0,0.0,0.0,0.0
1,-2,-3,0,5e-05,0.0,0.0,0.0,0.0,0.02
1,-2,-2,0,0.00025,0.0,0.0,0.01,0.03,0.1
1,-2,-1,-2,-4e-05,0.0,0.0,0.0,0.0,-0.02
1,-2,-1,0,0.00229,0.06,0.0,0.05,0.27,0.89
1,-2,0,-2,-0.00032,0.0,-0.01,0.0,-0.04,-0.12
1,-2,0,0,0.04304,-0.01,0.0,0.06,5.14,16.74
1,-2,0,2,-7e-05,0.0,0.0,0.0,0.0,-0.03
1,-2,1,-2,-8e-05,0.0,0.0,0.0,0.0,-0.03
1,-2,1,0,-0.00033,-0.16,0.0,-0.01,-0.04,-0.13
1,-2,2,0,-0.00037,-0.03,0.0,-0.02,-0.04,-0.14
1,-2,3,0,-5e-05,0.0,0.0,0.0,0.0,-0.02
1,-1,-5,0,2e-05,0.0,0.0,0.0,0.0,0.0
1,-1,-4,0,0.00014,0.0,0.0,0.01,0.0,0.05
1,-1,-3,-2,-2e-05,0.0,0.0,0.0,0.0,0.0
1,-1,-3,0,0.00069,0.02,0.0,0.04,0.04,0.27
1,-1,-3,2,2e-05,0.0,0.0,0.0,0.0,0.0
1,-1,-2,-2,-0.00011,0.0,0.0,0.0,0.0,-0.04
1,-1,-2,0,-0.00694,-0.25,0.0,-0.23,-0.42,-2.7
1,-1,-2,2,0.00013,0.0,0.0,0.0,0.0,0.05
1,-1,-1,-2,-0.001,0.0,-0.04,-0.02,-0.06,-0.39
1,-1,-1,0,-0.13636,-3.24,0.19,-2.41,-8.17,-53.02
1,-1,-1,2,0.00013,0.0,0.0,0.0,0.0,0.05
1,-1,0,-4,2e-05,0.0,0.0,0.0,0.0,0.0
1,-1,0,-2,-0.01281,-0.13,-0.57,0.0,-0.77,-4.98
1,-1,0,0,-0.55694,-40.23,1.7,-0.01,-33.62,-216.55
1,-1,0,2,0.00155,0.09,0.07,0.0,0.09,0.6
1,-1,1,-2,-0.00212,-0.02,-0.09,-0.04,-0.13,-0.83
1,-1,1,0,-0.12073,-6.32,0.25,-2.38,-7.23,-46.94
1,-1,1,2,0.0006,0.03,0.03,0.01,0.04,0.23
1,-1,2,-2,0.00012,0.0,0.0,0.0,0.0,0.05
1,-1,2,0,-0.01483,-0.72,0.03,-0.56,-0.89,-5.77
1,-1,2,2,0.00012,0.0,0.0,0.0,0.0,0.05
1,-1,3,-2,1e-05,0.0,0.0,0.0,0.0,0.0
1,-1,3,0,-0.00149,-0.07,0.0,-0.08,-0.09,-0.58
1,-1,3,2,2e-05,0.0,0.0,0.0,0.0,0.0
1,-1,4,0,-0.00014,0.0,0.0,-0.01,0.0,-0.05
1,-1,5,0,-1e-05,0.0,0.0,0.0,0.0,0.0
1,0,-6,0,-5e-05,0.0,0.0,0.0,0.0,-0.02
1,0,-5,-2,1e-05,0.0,0.0,0.0,0.0,0.0
1,0,-5,0,-0.00072,-0.02,0.0,-0.06,0.0,-0.28
1,0,-4,-2,9e-05,0.0,0.0,0.0,0.0,0.04
1,0,-4,0,-0.00955,-0.28,0.01,-0.7,0.0,-3.71
1,0,-4,2,2e-05,0.0,0.0,0.0,0.0,0.0
1,0,-3,-2,0.00069,0.02,0.03,0.04,0.0,0.27
1,0,-3,0,-0.12812,-3.66,0.13,-7.03,-0.05,-49.82
1,0,-3,2,0.00038,0.06,0.02,0.03,0.0,0.14
1,0,-2,-4,1e-05,0.0,0.0,0.0,0.0,0.0
1,0,-2,-2,0.00289,0.14,0.12,0.11,0.0,1.12
1,0,-2,0,-1.75296,-48.87,1.67,-64.28,-0.51,-681.6
1,0,-2,2,-0.00142,0.05,-0.07,-0.05,0.0,-0.55
1,0,-1,-4,0.00019,0.0,0.02,0.0,0.0,0.07
1,0,-1,-2,-0.02379,0.12,-1.09,-0.42,0.0,-9.25
1,0,-1,0,-18.58467,-437.66,18.91,-346.51,-1.0,-7226.22
1,0,-1,2,0.01598,0.32,0.69,0.3,0.0,6.21
1,0,-1,4,-0.00011,0.0,0.0,0.0,0.0,-0.04
1,0,0,-4,0.00123,0.01,0.11,0.0,0.0,0.48
1,0,0,-2,-0.58332,-5.89,-25.98,-0.12,0.0,-226.81
1,0,0,0,-124.98806,-2831.88,136.18,-86.6,-2.68,-48598.15
1,0,0,2,0.25429,5.73,11.11,0.26,0.0,98.87
1,0,0,4,-0.00054,-0.01,-0.05,0.0,0.0,-0.21
1,0,1,-4,0.00011,0.0,0.0,0.0,0.0,0.04
1,0,1,-2,-0.04012,-0.22,-1.8,-0.72,0.0,-15.6
